date,symbol,open,high,low,close,volume
2024-10-17,A,141.8100,142.5300,136.4800,137.4200,1592884
2024-10-17,AAPL,232.1230,232.5410,229.2310,230.8510,33179496
2024-10-17,ABBV,190.5400,191.6200,188.4600,188.5700,4419002
2024-10-17,ABNB,135.7000,136.6500,135.1100,136.0200,3813990
2024-10-17,ABT,118.7100,118.7600,117.1900,117.8900,5047138
2024-10-17,ACGL,108.0900,109.1300,107.4700,108.2500,1953991
2024-10-17,ACN,373.0000,375.5100,371.7800,375.1500,1906904
2024-10-17,ADBE,506.5100,507.5000,495.2300,496.8300,2769241
2024-10-17,ADI,232.5200,233.5600,227.1700,227.3400,3637854
2024-10-17,ADM,58.4300,58.7100,57.9146,58.6300,2005137
2024-10-17,ADP,292.0400,292.8300,289.9886,291.9600,2299199
2024-10-17,ADSK,290.4400,292.8800,289.1300,290.5700,1808725
2024-10-17,AEE,88.5800,88.8800,87.6100,88.3100,1995271
2024-10-17,AEP,101.7500,101.8150,100.5700,100.9100,2008881
2024-10-17,AES,17.8900,17.9800,17.1750,17.2500,8137477
2024-10-17,AFL,115.2900,115.3500,114.4500,114.9900,1859515
2024-10-17,AIG,78.5000,79.2500,77.7050,79.1900,5200626
2024-10-17,AIZ,196.9200,198.7650,196.2550,198.1600,359780
2024-10-17,AJG,291.5100,292.8400,288.4500,290.7600,908305
2024-10-17,AKAM,103.6700,105.1700,102.7100,104.7300,1301549
2024-10-17,ALB,97.4900,97.8100,93.2000,94.6700,2992341
2024-10-17,ALGN,217.9700,218.6650,214.9200,216.0200,845832
2024-10-17,ALL,197.5000,198.7900,193.5900,195.5100,1918189
2024-10-17,ALLE,150.9300,152.9375,150.2300,152.4800,780793
2024-10-17,AMAT,190.0000,190.8000,183.0000,183.2400,9727114
2024-10-17,AMCR,52.8513,52.8979,52.3382,52.4781,1225895
2024-10-17,AMD,160.0000,160.4400,156.2000,156.2500,29491853
2024-10-17,AME,170.6400,170.9200,168.6300,169.6800,1223211
2024-10-17,AMGN,325.9200,325.9200,320.5000,321.3300,1635581
2024-10-17,AMP,520.3500,523.6000,518.0100,521.4100,384499
2024-10-17,AMT,226.2000,227.5200,223.2900,224.1600,2021729
2024-10-17,AMZN,188.2200,188.9400,186.0000,187.5300,25039414
2024-10-17,ANET,103.0000,104.0000,101.8300,101.8480,5275108
2024-10-17,AON,361.0800,363.4600,357.6800,358.7500,756472
2024-10-17,AOS,79.8700,80.2300,78.2200,78.7500,1772852
2024-10-17,APA,24.7100,25.0100,24.6000,24.9200,3817033
2024-10-17,APD,326.7000,329.0300,324.5100,328.7700,1182021
2024-10-17,APH,67.8900,68.4800,67.2200,67.5400,6552076
2024-10-17,APO,146.2700,146.8250,143.5800,145.1900,2548047
2024-10-17,APTV,70.0400,70.6300,68.9750,69.9000,4405923
2024-10-17,ARE,122.1700,122.6700,121.1500,121.2500,1266406
2024-10-17,ATO,144.0200,144.3200,142.4500,143.7600,675935
2024-10-17,AVB,225.7700,226.1400,223.4411,225.4700,571024
2024-10-17,AVGO,181.3700,185.5100,180.6900,181.5300,25232427
2024-10-17,AVY,220.0000,222.1600,216.5750,218.3600,557909
2024-10-17,AWK,142.2800,142.5000,140.2300,140.7900,585710
2024-10-17,AXON,436.0000,437.9000,432.7344,434.4800,397469
2024-10-17,AXP,284.0000,286.3600,282.4818,285.7800,3571930
2024-10-17,AZO,3120.0000,3158.0000,3102.5100,3158.0000,87004
2024-10-17,BA,155.0000,157.1400,154.2500,155.3100,6291759
2024-10-17,BAC,42.8300,43.0000,42.4650,42.6000,31708564
2024-10-17,BALL,66.7400,67.3550,66.5950,66.8100,2113966
2024-10-17,BAX,36.5200,37.0000,36.0050,36.6500,3869045
2024-10-17,BBY,99.0000,99.0005,96.0900,96.2800,2392945
2024-10-17,BDX,240.4200,241.0600,238.9900,240.3300,964418
2024-10-17,BG,95.5100,95.7650,94.4500,95.6000,901698
2024-10-17,BIIB,188.5500,190.1900,187.7000,189.5500,728862
2024-10-17,BK,77.7100,78.0300,77.3800,77.7500,3111456
2024-10-17,BKNG,4360.0000,4394.9500,4357.0150,4370.7700,148699
2024-10-17,BKR,36.9000,37.0000,36.4900,36.8800,4010332
2024-10-17,BLDR,197.9700,198.7500,192.0500,195.3700,1134731
2024-10-17,BLK,1013.0300,1021.3300,991.2930,992.1440,691983
2024-10-17,BMY,53.1900,53.5800,52.8300,53.1800,7948531
2024-10-17,BR,219.9200,220.4600,217.2800,218.2500,408966
2024-10-17,BRO,107.3000,107.6700,106.4950,106.9300,1378308
2024-10-17,BSX,87.3100,87.4400,86.4200,86.4200,4560079
2024-10-17,BX,164.3500,172.2500,164.2900,169.7300,9088805
2024-10-17,BXP,87.0400,89.1200,86.7100,88.9200,972141
2024-10-17,C,64.7300,65.1700,63.7700,63.9700,13439619
2024-10-17,CAG,29.8700,30.4700,29.7700,30.3100,6727430
2024-10-17,CAH,111.2800,112.2900,110.9200,111.9300,1359353
2024-10-17,CARR,81.7200,82.4200,81.2700,81.4400,2538652
2024-10-17,CAT,395.1500,397.1200,393.1600,394.4900,1561648
2024-10-17,CB,296.3600,302.0480,295.5800,301.8900,2131211
2024-10-17,CBOE,210.5100,211.2350,209.0900,209.5500,564467
2024-10-17,CBRE,124.1600,125.6800,122.8300,124.9300,2472286
2024-10-17,CCI,112.0000,112.9300,110.5400,111.7500,3863365
2024-10-17,CCL,21.6200,21.7800,21.2300,21.4100,20065324
2024-10-17,CDNS,268.7300,268.8800,262.8500,263.0300,2235530
2024-10-17,CDW,222.0400,222.3400,219.9700,221.1800,1176488
2024-10-17,CEG,285.0000,285.0000,270.5401,271.2000,3209916
2024-10-17,CF,84.6500,85.8400,84.2000,85.7800,1422011
2024-10-17,CFG,42.0000,42.4700,41.5800,42.1300,7366640
2024-10-17,CHD,104.8700,105.3900,104.0400,104.9500,1052202
2024-10-17,CHRW,110.4200,111.0100,109.6700,110.8900,725839
2024-10-17,CHTR,332.2600,332.2600,324.5200,327.5300,780415
2024-10-17,CI,351.4100,358.7200,350.0000,353.1200,1614441
